organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,"tx_curr (n, dsd)","tx_curr (n, dsd, age_gt10sex)","tx_curr (n, dsd, age_lt10)","tx_new (n, dsd)","pmtct_stat (d, dsd, age) v2","pmtct_stat (n, dsd)","pmtct_stat (n, dsd, age)","pmtct_stat (n, dsd, ageknownnewresult)","pmtct_art (n, dsd, newexistingart)","pmtct_arv (n, dsd narrative)","pmtct_eid (n, dsd, agehivstatus)",HTC
cyCO6jnNj6A,Uda Health Center,p.ng.CCCRN.3206,,,,,,185,185,185,185,0,,0,679
h678jCLqkMn,Udi District Hospital,p.ng.ECEWS.3344,,972,931,41,51,43,43,43,43,2,,14,600
ILcKSLSBXR6,Ugwuoba Health Center,p.ng.ECEWS.3306,,,,,,27,27,27,27,1,,0,81
gbAX0S4Mjbs,Uhueze Obeagu Health Center,p.ng.ECEWS.3084,,,,,,5,5,5,5,0,,0,86
DFFucADViuk,Uhunowerre Health Center,p.ng.CCCRN.3230,,,,,,46,46,46,46,0,,0,47
JIDIV9Q3a54,Ukana Health Center,p.ng.ECEWS.3354,,,,,,21,21,21,21,0,,0,236
RaFjwVxIN5r,Umuhu Health Center,p.ng.CCCRN.3245,,,,,,9,9,9,9,0,,0,150
k4p32ZjcjJt,Umuida Clinic,p.ng.CCCRN.3195,,,,,,35,35,35,35,0,,0,325
EIgrU1IIUAz,Umulumgbe Health Center,p.ng.ECEWS.3345,,,,,,7,7,7,7,0,,0,161
OZ9kLD4rbat,Unity Hospital - Ngwo,p.ng.ECEWS.3348,,,,,,67,67,67,67,2,,0,402
sOlMR20VFFC,University Of Nigeria Teaching Hospital (UNTH),p.ng.CCCRN.3286,,4411,4334,77,106,335,335,335,335,31,,28,745
PF7rZSDbsrP,Uwani Cottage Hospital,p.ng.CCCRN.3125,,,,,,712,712,712,712,8,,0,716
Z226xvNYD7J,Abaji General Hospital,p.ng.IHVN.3374,,538,526,12,20,262,262,262,262,5,,0,822
YvmovwyRKTP,Abuja Unity Hospital and Maternity,p.ng.IHVN.3404,,19,19,0,6,12,12,12,12,2,,0,98
Z1fnpPnG6s3,Agnes Maternity,p.ng.IHVN.3406,,,,,1,23,23,23,23,1,,0,127
aUEMySOgyUj,Alliance Hospital,p.ng.IHVN.3428,,,,,1,23,16,16,16,0,,0,116
ChTDetqw53N,Allison Medical Center,p.ng.IHVN.3544,,,,,4,,,,,,,,0
nifRDBNbpDq,Amana Medical Center,p.ng.IHVN.3407,,14,14,0,3,10,10,10,10,0,,0,127
V6JGUZovtyk,Apex Specialist Hospital,,,,,,0,58,54,54,54,0,,0,186
rIw2AJ83KeO,Asher Hospital & Maternity,,,1,1,0,1,3,3,3,3,0,,0,93
wp753KYAdno,Asokoro District Hospital,p.ng.IHVN.3433,,4505,4410,95,117,712,712,712,712,57,,63,5948
zUmJoNoqzZn,Atlas Medical Center,,,8,8,0,5,0,0,0,0,0,,0,145
bOVUjhiimCM,Ayenmere Memorial Hospital,p.ng.IHVN.3421,,,,,1,2,2,2,2,1,,0,160
aJo7iehgsff,Bassa Jiwa Primary Health Center,p.ng.IHVN.3460,,10,10,0,1,25,25,25,25,1,,1,401
RYVTvf4hkWx,Bethel Clinic and Maternity,p.ng.IHVN.3447,,22,21,1,6,28,27,27,27,1,,0,161
QWpkml91U0m,Bismol Hospital and Maternity,p.ng.IHVN.3405,,16,15,1,4,21,16,16,16,1,,0,68
cQxuFlYjUom,Burum Primary Health Center,p.ng.IHVN.3395,,,,,,54,54,54,54,0,,0,163
KA9udHas5Nt,Bwari General Hospital,p.ng.IHVN.3479,,679,666,13,58,528,528,528,528,16,,15,9429
THd4hJ2BfQy,Bwari Medical Center,p.ng.IHVN.3481,,71,66,5,3,15,15,15,15,1,,0,355
o9te66bbXbK,Chitzere Maternity Home,,,2,2,0,1,12,12,12,12,0,,0,27
pp2AS0FyLHp,Cornelian Maternity and Rural Health - Gidan Mangoro,p.ng.CCFN.3442,,99,94,5,13,25,25,25,25,1,,3,1455
APriVNdVSRc,Cream Medics,p.ng.IHVN.3408,,15,15,0,3,18,18,18,18,0,,0,75
e3W0JOHKtvn,Custom Staff Clinic,p.ng.IHVN.3392,,370,357,13,28,275,275,275,275,2,,12,1092
WXTrdUZkyke,Dabibako Primary Health Center,p.ng.Pro Health.3573,,,,,,146,146,146,146,1,,5,406
WRIX0OX3q6e,Dagiri Primary Health Center,p.ng.IHVN.3529,,346,346,0,7,50,50,50,50,4,,0,105
buaTywWyRiB,Dakwa Primary Health Center,p.ng.IHVN.3497,,3,3,0,2,54,54,54,54,5,,0,81
TmfH7injEXb,Dara Medical Hospital,,,,,,0,5,5,5,5,0,,0,78
iJ6bV49PCve,Daughters of Charity (DOC) Hospital - Kubwa,p.ng.CCFN.3483,,2979,2885,94,47,126,126,126,126,34,,58,2838
HDftMwEayKH,De Rose Of Sharon Clinic and Maternity Hospital,p.ng.IHVN.3409,,7,7,0,1,10,9,9,9,0,,0,152
gCq0WqCmVqi,Dei Dei Comprehensive Health Center,p.ng.IHVN.3474,,99,99,0,37,376,376,376,376,9,,10,2521
DVn6RH9LDGb,Deidei Health Clinic,p.ng.IHVN.3384,,,,,,40,40,40,40,0,,0,1155
sUryQ7n0dAg,Diamond Medical Center,p.ng.IHVN.3410,,56,54,2,2,3,3,3,3,0,,0,104
IZhhzZVoPQX,Divine Clinic,p.ng.IHVN.3412,,9,9,0,4,23,23,23,23,1,,1,95
MTrVJduShZG,Divine Winners Clinic And Maternity,,,4,4,0,2,20,15,15,15,1,,0,42
OJgWGZkJlTc,Dominion Hospital,p.ng.IHVN.3475,,31,30,1,7,4,4,4,4,1,,0,129
L5zpxfg6nMU,Durumi Primary Health Center,p.ng.IHVN.3498,,17,17,0,3,53,53,53,53,3,,0,168
h5StehEhtb8,Dutsen Garki Primary Health Center,p.ng.IHVN.3386,,14,14,0,2,75,75,75,75,5,,0,437
NusIgPpngbI,Ebony Hospital,p.ng.IHVN.3413,,12,12,0,0,1,1,1,1,0,,0,18
DYplRcUZFjp,EFAB Medical Center,p.ng.IHVN.3457,,33,31,2,1,0,0,0,0,0,,0,36
GQIkBebg3SA,Evangelical Church of West Africa (ECWA) Health Clinic - Kabusa,,,148,140,8,6,22,22,22,22,0,,0,156
V9AWhIYQ8Uv,Evangelical Church of West Africa (ECWA) Medical Center,p.ng.IHVN.3414,,354,351,3,20,37,37,37,37,1,,0,1321
xKvwaYWM2BS,Excellence and Friends Management Consult (EFMC) Care Center (Modern Health Hospital),p.ng.IHVN.3499,,769,735,34,14,27,27,27,27,2,,4,67
SMNPrXL30v4,Express Hospital,,,6,6,0,3,1,1,1,1,0,,0,96
YUsdxekuYrY,Faith Medical Center - Karimo,,,129,123,6,9,9,9,9,9,1,,2,1163
gVpGcw23ZZ4,Family Care Multi Clinics,p.ng.IHVN.3458,,2,2,0,1,9,8,8,8,0,,0,58
dtlt61TM6ac,Federal Staff Hospital - Gwarimpa,p.ng.IHVN.3461,,124,120,4,10,123,123,123,123,2,,0,1583
LmLBtmd8U43,Federal Staff Hospital - Jabi,p.ng.IHVN.3462,,624,618,6,38,573,562,562,562,4,,8,3278
YanQR0c32TZ,Fereprod Medical Center,p.ng.IHVN.3459,,23,23,0,3,54,54,54,54,1,,0,140
RI2jHNRJMdn,Fill Medical Center,p.ng.IHVN.3470,,8,8,0,0,1,1,1,1,0,,0,43
gNhTYE0YB0P,Freedomscan Medical Center,,,12,12,0,5,6,6,6,6,0,,0,100
TINp36unhBr,Gaba Primary Health Centre,,,,,,,19,19,19,19,0,,0,80
z3lEh9ayyzV,Gabic Divine Clinic and Maternity,p.ng.IHVN.3469,,42,41,1,9,13,13,13,13,0,,0,57
z0yEj4D2xQT,Galuwyi Primary Health Centre,,,,,,,4,4,4,4,0,,0,15
SLDfqhuQVZW,Garki Hospital Abuja,p.ng.IHVN.3436,,1576,1559,17,55,313,311,311,311,3,,22,1564
DoBKAbdLSP0,Garki Primary Health Center,p.ng.IHVN.3387,,0,0,0,,38,38,38,38,0,,0,179
eVRpUIGh9Lh,Getwell Hospital,p.ng.IHVN.3415,,40,37,3,7,47,41,41,41,2,,0,270
ae7yf6GzRsl,Gidan Mangoro Primary Health Center,p.ng.IHVN.3389,,72,71,1,31,136,136,136,136,2,,1,1430
UkHphkpqSKb,Goodness Land Clinic and Maternity,,,11,10,1,5,13,13,13,13,1,,0,129
cV0VRbzrAdu,Gudupe Primary Health Centre,,,,,,,2,2,2,2,0,,0,65
KJxONI8lfvO,Gugugu Health Post,p.ng.IHVN.3390,,,,,,0,0,0,0,0,,0,0
ZVyH4YGTvGM,Gwagwa Primary Health Center,p.ng.IHVN.3385,,78,76,2,25,158,158,158,158,5,,5,1906
ZkdXdTHpcXN,Gwagwalada Township Clinic,p.ng.IHVN.3500,,490,490,0,4,140,140,140,140,0,,5,780
xiXIP4UV1BR,Gwarimpa General Hospital,p.ng.IHVN.3455,,1479,1444,35,23,478,478,478,478,23,,20,2323
EGR2uDTGAxp,Heartland Alliance Foundation,,,227,227,0,109,,,,,,,,
lwuFhtAhFbk,Hi-Fi Hospital,,,1,1,0,0,0,0,0,0,0,,0,0
dbvubsqBrWd,Holy Trinity Hospital,p.ng.IHVN.3416,,13,13,0,5,0,0,0,0,0,,0,44
WYI87feZ4qB,Iddo Pada Primary Health Center,p.ng.IHVN.3398,,36,36,0,15,50,50,50,50,2,,1,609
rdDoegrEtum,Idu Karimo Primary Health Center,p.ng.IHVN.3403,,109,109,0,59,558,558,558,558,10,,5,1466
k1b8RGXowza,Jahi Primary Health Center,p.ng.IHVN.3451,,40,40,0,24,97,97,97,97,2,,4,491
w5ZwJg0X5D4,Jikwoyi Medical Center,p.ng.IHVN.3417,,57,56,1,9,45,45,45,45,1,,0,599
Jvd5y9U8yMI,Jikwoyi Primary Health Center,p.ng.IHVN.3393,,93,92,1,22,139,139,139,139,1,,0,1647
JVEcArvuL4Z,Jiwa Primary Health Center,p.ng.IHVN.3400,,,,,,50,50,50,50,0,,0,1997
GUXd34TURNZ,Kabusa Primary Health Center,p.ng.IHVN.3396,,243,231,12,36,282,282,282,282,9,,11,1467
wF0endAxIJX,Kagini Primary Health Center,p.ng.IHVN.3402,,24,24,0,7,316,316,316,316,3,,0,431
r2S8m4Z1g4A,Karshi General Hospital,p.ng.IHVN.3434,,1104,1065,39,50,398,398,398,398,32,,16,2601
SpSTJ4KRVyh,Karshi Primary Health Center,p.ng.IHVN.3388,,9,9,0,,72,72,72,72,1,,0,168
PbRh5MSdqkf,Karu Primary Health Center,p.ng.IHVN.3394,,68,68,0,13,271,240,240,240,6,,0,1704
fUJJDkPva9X,Kefat Medical Center,p.ng.IHVN.3449,,4,4,0,0,0,0,0,0,0,,0,38
wTmsnc4kenf,King's Care Hospital,p.ng.IHVN.3441,,88,87,1,12,115,115,115,115,1,,2,538
cKDxPChHFCF,Kogo Primary Health Center,p.ng.IHVN.3488,,170,166,4,39,51,51,51,51,2,,1,1670
qXmgK5m4VaX,Kpaduma Primary Health Center,p.ng.IHVN.3452,,21,21,0,3,76,76,76,76,5,,6,684
x9IejBPCQVb,Kubwa General Hospital,p.ng.IHVN.3480,,667,665,2,67,1021,1020,1020,1020,28,,38,8163
WElCAu2HpVu,Kubwa Muslim Community Hospital,p.ng.IHVN.3472,,,,,1,44,44,44,44,1,,0,138
MjPJsyoDyUI,Kuchibuyi Primary Health Center,p.ng.IHVN.3467,,,,,,28,28,28,28,0,,0,59
JI8s1z5gpoc,Kuchingoro Primary Health Center,p.ng.IHVN.3453,,17,17,0,3,150,150,150,150,6,,2,697
GXIQ6xT9o8T,Kuduru Primary Health Center,,,2,2,0,,14,14,14,14,0,,0,281
OHu3MeJ3B6V,Kundu Primary Health Center,p.ng.Pro Health.3576,,,,,,53,53,53,53,2,,3,106
TkzDfwZL3qF,Kurudu Primary Health Center,p.ng.IHVN.3391,,,,,1,57,57,57,57,4,,0,193
iyY0Sl8NVcf,Kurumin Daudu Primary Health Center,,,,,,,22,22,22,22,0,,0,80
xj1ZMJSBCgs,Kute Primary Health Center,,,,,,,24,24,24,24,0,,0,100
cp7lzrnlXEV,Kwali General Hospital,p.ng.Pro Health.3545,,314,301,13,26,318,318,318,318,1,,5,562
nerKrdWVlFY,Lamina Hospital,p.ng.IHVN.3476,,,,,3,2,2,2,2,1,,0,184
JORcUr1vjZ2,Laura Hospital and Maternity,p.ng.IHVN.3478,,14,13,1,2,18,12,12,12,0,,0,35
gJDHs8tNdnE,Louis Pasteur Hospital,,,3,3,0,1,3,3,3,3,0,,0,23
R7tewKvLsHH,Lower Usman Dam Primary Health Center,p.ng.IHVN.3468,,,,,,31,31,31,31,0,,0,79
V3cnerP32o7,Lugbe Maternity and Hospital,p.ng.IHVN.3418,,,,,1,57,57,57,57,1,,0,358
E82uS1Gnznn,Lugbe Primary Health Center,p.ng.IHVN.3397,,181,175,6,55,391,391,391,391,1,,4,4335
aTyozPo1kwD,Lurcia Well Hospital Limited,p.ng.IHVN.3489,,16,14,2,4,15,15,15,15,0,,3,28
bnUu3uUtKQ2,M-Dali Hospital,,,26,25,1,11,,,,,,,,235
G91WOGelwHd,Mabushi Primary Health Center,p.ng.IHVN.3454,,5,5,0,1,77,77,77,77,3,,0,459
rG51d4tulrT,Mai Kwari Primary Health Center,p.ng.Pro Health.3578,,,,,,46,46,46,46,1,,0,84
TJ3gInbwDXs,Maitama General Hospital,p.ng.IHVN.3432,,3548,3495,53,69,621,621,621,621,33,,45,4082
gLfqoHRtXMC,Massan Clinic Limited,p.ng.IHVN.3419,,147,145,2,7,8,8,8,8,2,,0,369
Z4XqgnKjhg6,Medimore Hospital,,,1,1,0,0,10,10,10,10,0,,0,90
rMMAz8BJpYn,Midland Clinic,p.ng.IHVN.3420,,7,7,0,0,3,3,3,3,0,,0,105
bVBWYm62p9C,Miracle Seed Clinic And Maternity,,,2,2,0,0,4,4,4,4,0,,0,37
Gq6VRX4SDTV,Mpape Primary Health Center,p.ng.IHVN.3486,,212,211,1,76,637,637,637,637,21,,8,3757
DnwrPe4eo4i,Nanda Primary Health Center,p.ng.IHVN.3378,,,,,,36,36,36,36,0,,0,69
meYf9FxUI4c,National Hospital - Abuja,p.ng.IHVN.3440,,4265,4229,36,42,300,300,300,300,28,,31,470
IGd2xA1uWF9,National Institute For Pharmaceutical Research - Idu,p.ng.IHVN.3401,,2386,2386,0,36,,,,,,,,235
Dyrg5CoNurM,Neumed Hospital,,,17,17,0,1,2,2,2,2,0,,0,46
vQw04A24H0T,Northland Medical Center,,,6,6,0,0,0,0,0,0,0,,0,61
vdQKOn1w8Ql,Nyanya General Hospital,p.ng.IHVN.3435,,547,545,2,121,592,592,592,592,27,,19,4322
Rg6WyccbM1f,Omega Hospital,p.ng.IHVN.3473,,114,111,3,33,15,15,15,15,2,,0,345
aQlACyagbgy,Our Lady of Fatima Hospital - Bwari,p.ng.CCFN.3487,,363,341,22,20,25,25,25,25,2,,12,2110
yPCziAkwkzg,Our Lady's Clinic and Maternity,p.ng.IHVN.3422,,4,4,0,1,46,46,46,46,2,,1,109
oLmSzAUmcRy,Paafag Hospital,p.ng.IHVN.3423,,16,16,0,0,2,2,2,2,0,,0,62
X1qW7rDQQi4,Padan Igwari Health Post,p.ng.IHVN.3490,,,,,,18,18,18,18,0,,0,161
x4o2sPRYFUc,Pai Primary Health Center,p.ng.Pro Health.3546,,,,,,65,65,65,65,,,0,163
RJQw1UeNELQ,Pan-Raf Hospital,p.ng.IHVN.3424,,60,60,0,4,49,36,36,36,0,,0,239
cKMCUCzug0v,Pananuke Health Post,p.ng.IHVN.3491,,,,,,9,9,9,9,0,,0,58
v6UOq4tLCsj,Peace Care Clinic,p.ng.IHVN.3425,,7,7,0,1,18,18,18,18,1,,0,48
lTyNAjkImn8,Pigba Medical Center,p.ng.IHVN.3426,,98,96,2,8,14,11,11,11,2,,2,245
cPMW89k4pm3,Piko Primary Health Center,,,,,,,5,5,5,5,0,,0,54
MYIbzpMWd8N,Police Clinic - Abuja,p.ng.IHVN.3463,,219,219,0,61,39,39,39,39,0,,1,260
SpJT9yC6Mso,Precious Clinic and Maternity,p.ng.IHVN.3427,,36,36,0,5,15,15,15,15,0,,0,98
CACn4oMcaDB,Prime Care Hospital,,,5,5,0,0,1,1,1,1,0,,0,18
gPzTgphPpvP,Queens Clinic And Maternity,,,2,2,0,2,6,6,6,6,0,,0,143
K4SJ3bYXMq8,Rapha Hospital,p.ng.IHVN.3429,,22,21,1,1,7,7,7,7,0,,0,84
Ghm98QaBy8V,Rouz Hospital and Maternity,p.ng.IHVN.3437,,14,14,0,3,21,17,17,17,0,,0,130
SrXa2CfiKUW,Royal Specialist Hospital,p.ng.IHVN.3430,,7,7,0,0,7,7,7,7,0,,0,53
jmPyqle03FT,Rubochi General Hospital,p.ng.IHVN.3542,,,,,3,70,70,70,70,3,,0,422
kRQE3PKNMcY,Ruz Medical and Diagnostic Centre,p.ng.IHVN.3438,,76,75,1,0,0,0,0,0,0,,0,188
H0zE11DWLyo,Sabo Primary Health Care,p.ng.IHVN.3535,,,,,2,52,52,52,52,2,,0,194
IJ5PG1Bw2VW,Sabon Gari Primary Health Center,p.ng.IHVN.3492,,59,58,1,8,56,56,56,56,3,,0,1593
HVyvyE3c0Yf,Saffron Hospital,p.ng.IHVN.3439,,8,8,0,0,40,40,40,40,0,,0,120
ZbLJDFZRfQW,Salihu'o Memoral Clinic and Maternity,p.ng.IHVN.3477,,,,,,1,1,1,1,0,,0,180
uZx47qT9QYw,Sauki Private Hospital,,,1,1,0,1,4,4,4,4,0,,0,131
nbtCj3RMtzw,Shere Primary Health Center,,,,,,,54,54,54,54,0,,0,83
no5jUGnd1ZR,Shereti Primary Health Center,p.ng.IHVN.3446,,18,18,0,1,96,96,96,96,1,,1,791
Nq0hQeEYCAk,Sisters of Nativity Hospital (SON) - Jikwoyi,p.ng.CCFN.3445,,1047,1010,37,48,134,134,134,134,12,,14,2055
v3TkEm3tIOC,St. Andrews Anglican Hospital - Kubwa,,,352,339,13,17,22,22,22,22,5,,1,1172
zTOPNsW4lUA,Standard Care Hospital,,,6,6,0,2,5,5,5,5,0,,0,118
Z8B1VX79MbC,Sumit Hospital,p.ng.IHVN.3482,,77,75,2,6,71,71,71,71,1,,0,276
YvwO8wMppCF,Sumpe Health Post,p.ng.IHVN.3493,,,,,1,21,21,21,21,1,,0,175
p7SR54qwbtD,The Crown Hospital,p.ng.IHVN.3448,,129,119,10,10,66,38,38,38,4,,0,205
xkztr4vzUBD,Tokulo Primary Health Center,p.ng.IHVN.3465,,,,,,9,9,9,9,0,,0,223
HWdlzBDQFPb,Tolbert Specialist Hospital,p.ng.IHVN.3450,,20,20,0,0,12,9,9,9,0,,0,66
ftFlav8W7xa,Tungan Madaki Primary Health Center,p.ng.IHVN.3399,,,,,,29,29,29,29,0,,0,94
CML4M8t2cco,Tunganbijimi Primary Health Center,p.ng.IHVN.3494,,,,,,32,32,32,32,0,,0,53
tbaFtFctcb8,Una Clinic,,,16,15,1,7,7,7,7,7,0,,0,223
z5gQ18jlgj5,Unity Clinic and Maternity,p.ng.IHVN.3485,,37,36,1,6,52,52,52,52,1,,0,188
GW1w1chZMPR,University Of Abuja Teaching Hospital - Gwagwalda,p.ng.IHVN.3522,,5633,5526,107,122,508,489,489,489,26,,40,1226
sEhnC9NtLZX,Viewpoint Hospital,p.ng.IHVN.3526,,19,19,0,1,13,13,13,13,0,,0,56
RH2hXXYLm3t,Viva Hospital,p.ng.IHVN.3495,,9,9,0,1,9,6,6,6,0,,0,29
rIR1wprAE7M,Yabisam Hospital,,,13,13,0,3,37,37,37,37,0,,0,152
YMDtcfAHWOW,Yaupe Health Post,,,,,,,18,18,18,18,0,,0,136
Vje0kITuxn5,Yimi Primary Health Center,p.ng.IHVN.3510,,16,16,0,1,87,87,87,87,2,,1,344
Cus2zgVLYzI,Zamman Medical Center,,,,,,,0,0,0,0,0,,0,39
F3mjSRmDdCj,Zenith Medical Center,,,,,,0,0,0,0,0,0,,0,260
HVbsitbHef7,Zhigakuchi Primary Health Center,p.ng.IHVN.3496,,,,,,13,13,13,13,0,,0,44
B2dcelV1Rbo,Zhiko Primary Health Center,p.ng.IHVN.3466,,,,,,17,17,17,17,0,,0,70
y6HYnDXF6Uv,Zitadel Hospital,,,5,5,0,1,4,4,4,4,1,,0,167
rgzdfVQ9AK2,Zuba Primary Health Center,p.ng.IHVN.3509,,24,24,0,5,97,97,97,97,5,,1,807
MyXpX9ajtit,301 Artillery Division Medical Reception Station,p.ng.CIHP.3681,,,,,,25,25,25,25,1,,0,32
kjkBvkvr0Rj,Amdo Medical Clinic,p.ng.CIHP.3708,,,,,,43,43,43,43,0,,0,521
XNy0j3RUrI6,Ashaka Cement Clinic,p.ng.CIHP.3657,,642,632,10,33,304,304,304,304,0,,0,898
N5BdnybiHwr,Ayaba Primary Health Center,p.ng.CIHP.3626,,,,,,102,102,102,102,0,,0,193
t0ulFJivm9P,Bajoga General Hospital,p.ng.CIHP.3655,,1059,1059,0,27,712,712,712,712,15,,11,5101
yAtYirMpXuz,Bam Bam Cottage Hospital,p.ng.CIHP.3612,,613,587,26,42,123,123,123,123,0,,1,1666
S1HZhbEmqUc,Bam Bam Primary Health Center,p.ng.CIHP.3616,,,,,,219,208,208,208,0,,0,271
lc3zUkNVPV1,Barwo Wunde Model Primary Health Center,p.ng.CIHP.3723,,,,,,96,96,96,96,0,,0,342
ItQqTK4vrzT,Billiri General Hospital,p.ng.CIHP.3631,,1764,1738,26,56,222,222,222,222,16,,0,1554
hnu8aVM6eMV,Bogo Model Primary Health Center,p.ng.FGHiN.3596,,,,,,218,216,216,216,2,,0,256
ve4UhhWPdtv,Bolari Maternal and Child Health Clinic,p.ng.CIHP.3667,,,,,,534,534,534,534,10,,3,914
tIEFDNyv2IV,Cham Primary Health Center,p.ng.CIHP.3614,,,,,,243,243,243,243,1,,0,1558
rrBhu5e1MfW,Dadinkowa Town Maternity,p.ng.FGHiN.3748,,,,,,437,436,436,436,1,,0,86
HwC7f1qYg2o,Deba General Hospital,p.ng.FGHiN.3760,,261,255,6,19,426,425,425,425,2,,1,488
LwSI1JO6CRg,Diffa Primary Health Center,p.ng.FGHiN.3756,,,,,,92,92,92,92,0,,0,24
VvdGo3jc0D0,Dukku Comprehensive Health Center,,,,,,,495,495,495,495,0,,0,2015
X8smKtvqUob,Dukku General Hospital,p.ng.CIHP.3636,,437,429,8,23,495,465,465,465,4,,11,1295
UeAxwJmzoPH,Federal Medical Center - Gombe,p.ng.CIHP.3680,,6203,6117,86,125,433,433,433,433,22,,39,3757
vaP8U6qfGIa,Filiya Primary Health Center,p.ng.CIHP.3732,,515,511,4,29,181,181,181,181,2,,0,900
xOjkh238G8g,Gabukka Maternal and Child Health Clinic,p.ng.CIHP.3686,,,,,,107,105,105,105,2,,0,161
l02u6Bzmrza,Gelengu Maternal and Child Health Clinic,p.ng.CIHP.3608,,,,,,62,62,62,62,0,,0,361
kQSAihTQQep,Gombe State Specialist Hospital,p.ng.CIHP.3677,,4350,4262,88,174,1136,1108,1108,1108,44,,20,6267
TinjgNiJrB4,Herwagana Maternal and Child Health Clinic,p.ng.CIHP.3683,,,,,,195,195,195,195,4,,0,511
rRFHOH95mcF,Hinna Primary Health Center,p.ng.FGHiN.3772,,,,,,247,247,247,247,0,,0,491
P9815pFCx4Y,Infectious Disesase Hospital - Zambuk,p.ng.FGHiN.3769,,1556,1513,43,51,157,153,153,153,4,,9,621
I9vA78jcthr,Jalingo Primary Health Center,p.ng.CIHP.3641,,,,,,377,377,377,377,0,,0,404
ZQOlLOUnCeZ,Kagarawal Comprehensive Health Center,p.ng.CIHP.3705,,,,,,285,285,285,285,1,,0,340
EqwqkFZQNfH,Kalshingi Primary Health Center,p.ng.FGHiN.3591,,,,,,389,387,387,387,2,,0,23
CnFTZ4Yu5A8,Kaltungo General Hospital,p.ng.CIHP.3699,,1899,1899,0,36,291,291,291,291,25,,11,1832
CLdT0B3G6p7,Kashere Cottage Hospital,p.ng.FGHiN.3598,,,,,,213,213,213,213,0,,0,52
bW4cbw8Kloh,Kashere General Hospital,p.ng.FGHiN.3595,,527,503,24,31,235,234,234,234,2,,7,1085
y6Kk5VUXOX7,Kasuwan Mata Health Clinic,p.ng.CIHP.3684,,,,,,180,180,180,180,2,,0,512
kqQUoQi76st,Kekkel Maternal and Child Health Clinic,p.ng.CIHP.3620,,,,,,79,79,79,79,1,,0,171
jkw8uV3T206,Kumbiya Kumbiya Primary Health Center,p.ng.CIHP.3682,,,,,,501,501,501,501,1,,1,1122
MQd3xsfqPzT,Kumo Cottage Hospital,p.ng.FGHiN.3599,,,,,,602,601,601,601,1,,0,36
FVKwyxBzfHs,Kundullum Primary Health Center,p.ng.FGHiN.3600,,,,,,195,195,195,195,1,,0,185
gd0wEyi6cac,Kurmi Maternity Clinic,p.ng.FGHiN.3774,,0,0,0,0,778,778,778,778,0,,0,905
QR7EfY7yNgb,Kwadon Primary Health Center,p.ng.FGHiN.3767,,,,,,711,711,711,711,1,,0,35
gt2YjWoSXCy,Kwami Comprehensive Primary Health Center,p.ng.CIHP.3716,,,,,,292,292,292,292,1,,0,681
LTuv4a79XvG,Lafiya Clinic,p.ng.CIHP.3637,,,,,,7,7,7,7,0,,0,1554
IYh928VUqNg,Lafiya Maternal and Child Health Clinic,p.ng.CIHP.3701,,,,,,38,38,38,38,0,,0,117
muKOLeXeQ6R,Lakidir Health Clinic,p.ng.CIHP.3693,,,,,,9,9,9,9,0,,0,56
lXDHEJLTcvA,Lanu Maternity,p.ng.FGHiN.3771,,0,0,0,0,464,464,464,464,0,,0,106
h7Xccz3xPey,Ligi Primary Health Center,p.ng.FGHiN.3768,,,,,,182,182,182,182,1,,0,33
oso9UXCPxTW,London Maidorawa Health Clinic,p.ng.CIHP.3685,,,,,,148,148,148,148,1,,0,778
Ts9du2HmZC7,Lubo Primary Health Center,p.ng.FGHiN.3757,,,,,,219,219,219,219,0,,0,35
e3IPIkjbbRD,Maikaho Primary Health Center,p.ng.FGHiN.3770,,0,,,,254,254,254,254,0,,0,77
qjAHaXsYrWi,Mallam Sidi Cottage Hospital,p.ng.CIHP.3718,,,,,,358,358,358,358,1,,0,1235
tRkbi8NqKzg,Nasarawo Maternal and Child Health Clinic,p.ng.CIHP.3670,,,,,,362,362,362,362,2,,0,631
pU92ZUAY68L,Pantami Primary Health Center,p.ng.CIHP.3671,,,,,,1050,1049,1049,1049,15,,0,1970
udBc8MM1Szr,Pero Primary Health Center,p.ng.CIHP.3740,,,,,,97,97,97,97,0,,0,212
xqIQZPT6Fdf,Pindiga Cottage Hospital,p.ng.FGHiN.3603,,,,,,202,202,202,202,0,,0,172
cBRkyZxkaPY,Pindiga Primary Health Center,p.ng.FGHiN.3592,,,,,,359,359,359,359,0,,0,0
Z4dx6b95DsA,Poshereng Health Clinic,p.ng.CIHP.3691,,,,,,16,16,16,16,0,,0,122
xBeiof3iPyM,Sabon Layi Awak Maternal and Child Health Clinic,p.ng.CIHP.3689,,,,,,98,98,98,98,0,,0,163
Ud9Ovt9pKfa,Sabongari Primary Health Center,p.ng.FGHiN.3775,,,,,,0,0,0,0,0,,0,0
lfGN3aDRMZj,Shango Maternity Clinic,p.ng.FGHiN.3601,,,,,,168,168,168,168,0,,0,66
zKnglkayqmW,State Low Cost Family Support Programme Clinic Gombe,p.ng.CIHP.3666,,,,,,453,453,453,453,4,,3,517
TiAwIXFMkLy,Sunnah Hospital,p.ng.CIHP.3678,,,,,,44,44,44,44,1,,0,1536
aGOQB2fZ1Bt,Town Maternity Gombe,p.ng.CIHP.3669,,,,,,1197,1197,1197,1197,18,,0,2672
